date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:26:51	103/103	---M-Z	200	added ('OK')	text/plain	etag:%225b-629eb4a675010-gzip%22	https://jinjawithpharmmotunrayofilani.carrd.co/robots.txt		(from )
02:26:52	42386/42386	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Dec%202024%2007:53:21%20GMT	https://jinjawithpharmmotunrayofilani.carrd.co/	C:/My%20Web%20Sites/ESTHER/jinjawithpharmmotunrayofilani.carrd.co/index.html	(from )
02:26:56	4877/4877	---M--	200	added ('OK')	image/jpeg	etag:%22130d-619eb781ad7d0%22	https://jinjawithpharmmotunrayofilani.carrd.co/assets/images/image01.jpg?v=afb9183c	C:/My%20Web%20Sites/ESTHER/jinjawithpharmmotunrayofilani.carrd.co/assets/images/image012096.jpg	(from https://jinjawithpharmmotunrayofilani.carrd.co/)
02:26:58	81021/81021	---M--	200	added ('OK')	image/jpeg	etag:%2213c7d-629eb4a4ede40%22	https://jinjawithpharmmotunrayofilani.carrd.co/assets/images/card.jpg?v=afb9183c	C:/My%20Web%20Sites/ESTHER/jinjawithpharmmotunrayofilani.carrd.co/assets/images/card2096.jpg	(from https://jinjawithpharmmotunrayofilani.carrd.co/)
02:27:10	45155/45155	---M--	200	added ('OK')	image/jpeg	etag:%22b063-619eb781b3978%22	https://jinjawithpharmmotunrayofilani.carrd.co/assets/images/image05.jpg?v=afb9183c	C:/My%20Web%20Sites/ESTHER/jinjawithpharmmotunrayofilani.carrd.co/assets/images/image052096.jpg	(from https://jinjawithpharmmotunrayofilani.carrd.co/)
02:27:13	45591/45591	---M--	200	added ('OK')	image/jpeg	etag:%22b217-61b463871f8f0%22	https://jinjawithpharmmotunrayofilani.carrd.co/assets/images/image23.jpg?v=afb9183c	C:/My%20Web%20Sites/ESTHER/jinjawithpharmmotunrayofilani.carrd.co/assets/images/image232096.jpg	(from https://jinjawithpharmmotunrayofilani.carrd.co/)
02:27:16	27979/27979	---M--	200	added ('OK')	image/jpeg	etag:%226d4b-619eb781b6858%22	https://jinjawithpharmmotunrayofilani.carrd.co/assets/images/image06.jpg?v=afb9183c	C:/My%20Web%20Sites/ESTHER/jinjawithpharmmotunrayofilani.carrd.co/assets/images/image062096.jpg	(from https://jinjawithpharmmotunrayofilani.carrd.co/)
02:27:22	31771/31771	---M--	200	added ('OK')	image/jpeg	etag:%227c1b-619eb781bcde8%22	https://jinjawithpharmmotunrayofilani.carrd.co/assets/images/image08.jpg?v=afb9183c	C:/My%20Web%20Sites/ESTHER/jinjawithpharmmotunrayofilani.carrd.co/assets/images/image082096.jpg	(from https://jinjawithpharmmotunrayofilani.carrd.co/)
02:27:22	37216/37216	---M--	200	added ('OK')	image/jpeg	etag:%229160-619eb781b9b20%22	https://jinjawithpharmmotunrayofilani.carrd.co/assets/images/image07.jpg?v=afb9183c	C:/My%20Web%20Sites/ESTHER/jinjawithpharmmotunrayofilani.carrd.co/assets/images/image072096.jpg	(from https://jinjawithpharmmotunrayofilani.carrd.co/)
02:27:24	39692/39692	---M--	200	added ('OK')	image/jpeg	etag:%229b0c-619eb781bfcc8%22	https://jinjawithpharmmotunrayofilani.carrd.co/assets/images/image09.jpg?v=afb9183c	C:/My%20Web%20Sites/ESTHER/jinjawithpharmmotunrayofilani.carrd.co/assets/images/image092096.jpg	(from https://jinjawithpharmmotunrayofilani.carrd.co/)
